,dataset,filename,actor,emotion,length,gender,set
0,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-01-02-01-16.wav,16,angry,1.9948299319727891,female,train
1,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-01-02-02-16.wav,16,fearful,1.8035827664399093,female,train
2,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-02-01-02-16.wav,16,fearful,2.3378231292517007,female,train
3,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-02-01-01-16.wav,16,angry,2.0458049886621317,female,train
4,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-01-01-01-16.wav,16,disgusted,1.8239455782312926,female,train
5,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-01-01-02-16.wav,16,sad,1.6597278911564626,female,train
6,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-02-02-02-16.wav,16,sad,2.055873015873016,female,train
7,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-02-02-01-16.wav,16,disgusted,2.27859410430839,female,train
8,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-02-02-01-16.wav,16,surprised,1.6732879818594104,female,test
9,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-01-01-01-16.wav,16,surprised,1.5685260770975056,female,train
10,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-02-02-02-16.wav,16,happy,1.8090702947845805,female,train
11,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-01-01-02-16.wav,16,happy,1.7681179138321996,female,train
12,RAVDESS,clean/RAVDESS/Actor_16/03-01-01-01-02-02-16.wav,16,neutral,1.6380498866213151,female,train
13,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-02-01-01-16.wav,16,happy,1.9044444444444444,female,train
14,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-01-02-01-16.wav,16,happy,1.814013605442177,female,test
15,RAVDESS,clean/RAVDESS/Actor_16/03-01-01-01-01-01-16.wav,16,neutral,1.8053514739229024,female,train
16,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-01-01-01-16.wav,16,fearful,1.7266213151927439,female,train
17,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-01-01-02-16.wav,16,angry,2.083310657596372,female,test
18,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-02-02-02-16.wav,16,angry,2.122312925170068,female,train
19,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-02-02-01-16.wav,16,fearful,2.405260770975057,female,test
20,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-01-02-01-16.wav,16,sad,1.4676643990929705,female,train
21,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-01-02-02-16.wav,16,disgusted,1.6819954648526076,female,train
22,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-02-01-02-16.wav,16,disgusted,2.3053968253968256,female,train
23,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-02-01-01-16.wav,16,sad,2.029206349206349,female,test
24,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-02-01-02-16.wav,16,surprised,1.6481632653061224,female,train
25,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-01-02-02-16.wav,16,surprised,1.5095238095238095,female,train
26,RAVDESS,clean/RAVDESS/Actor_16/03-01-01-01-02-01-16.wav,16,neutral,1.7229931972789116,female,train
27,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-01-01-01-16.wav,16,happy,1.7180045351473923,female,train
28,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-02-02-01-16.wav,16,happy,1.8121995464852607,female,train
29,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-02-02-02-16.wav,16,disgusted,2.206938775510204,female,train
30,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-02-02-01-16.wav,16,sad,1.8849886621315193,female,train
31,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-01-01-01-16.wav,16,sad,1.6472562358276643,female,train
32,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-01-01-02-16.wav,16,disgusted,1.8065306122448979,female,test
