,dataset,filename,actor,emotion,intensity,statement,repitition,length,gender
0,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-01-02-01-16.wav,16,angry,normal,02,01,1.9948299319727891,female
1,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-01-02-02-16.wav,16,fearful,normal,02,02,1.8035827664399093,female
2,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-02-01-02-16.wav,16,fearful,strong,01,02,2.3378231292517007,female
3,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-02-01-01-16.wav,16,angry,strong,01,01,2.0458049886621317,female
4,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-01-01-01-16.wav,16,disgusted,normal,01,01,1.8239455782312926,female
5,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-01-01-02-16.wav,16,sad,normal,01,02,1.6597278911564626,female
6,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-02-02-02-16.wav,16,sad,strong,02,02,2.055873015873016,female
7,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-02-02-01-16.wav,16,disgusted,strong,02,01,2.27859410430839,female
8,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-02-02-01-16.wav,16,surprised,strong,02,01,1.6732879818594104,female
9,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-01-01-01-16.wav,16,surprised,normal,01,01,1.5685260770975056,female
10,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-02-02-02-16.wav,16,happy,strong,02,02,1.8090702947845805,female
11,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-01-01-02-16.wav,16,happy,normal,01,02,1.7681179138321996,female
12,RAVDESS,clean/RAVDESS/Actor_16/03-01-02-02-01-01-16.wav,16,calm,strong,01,01,1.929297052154195,female
13,RAVDESS,clean/RAVDESS/Actor_16/03-01-01-01-02-02-16.wav,16,neutral,normal,02,02,1.6380498866213151,female
14,RAVDESS,clean/RAVDESS/Actor_16/03-01-02-01-02-01-16.wav,16,calm,normal,02,01,1.8998639455782314,female
15,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-02-01-01-16.wav,16,happy,strong,01,01,1.9044444444444444,female
16,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-01-02-01-16.wav,16,happy,normal,02,01,1.814013605442177,female
17,RAVDESS,clean/RAVDESS/Actor_16/03-01-02-02-02-02-16.wav,16,calm,strong,02,02,1.886530612244898,female
18,RAVDESS,clean/RAVDESS/Actor_16/03-01-02-01-01-02-16.wav,16,calm,normal,01,02,1.9463945578231292,female
19,RAVDESS,clean/RAVDESS/Actor_16/03-01-01-01-01-01-16.wav,16,neutral,normal,01,01,1.8053514739229024,female
20,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-01-01-01-16.wav,16,fearful,normal,01,01,1.7266213151927439,female
21,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-01-01-02-16.wav,16,angry,normal,01,02,2.083310657596372,female
22,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-02-02-02-16.wav,16,angry,strong,02,02,2.122312925170068,female
23,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-02-02-01-16.wav,16,fearful,strong,02,01,2.405260770975057,female
24,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-01-02-01-16.wav,16,sad,normal,02,01,1.4676643990929705,female
25,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-01-02-02-16.wav,16,disgusted,normal,02,02,1.6819954648526076,female
26,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-02-01-02-16.wav,16,disgusted,strong,01,02,2.3053968253968256,female
27,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-02-01-01-16.wav,16,sad,strong,01,01,2.029206349206349,female
28,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-02-01-02-16.wav,16,surprised,strong,01,02,1.6481632653061224,female
29,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-01-02-02-16.wav,16,surprised,normal,02,02,1.5095238095238095,female
30,RAVDESS,clean/RAVDESS/Actor_16/03-01-02-01-02-02-16.wav,16,calm,normal,02,02,1.8010884353741496,female
31,RAVDESS,clean/RAVDESS/Actor_16/03-01-01-01-02-01-16.wav,16,neutral,normal,02,01,1.7229931972789116,female
32,RAVDESS,clean/RAVDESS/Actor_16/03-01-02-02-01-02-16.wav,16,calm,strong,01,02,2.0211337868480728,female
33,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-01-01-01-16.wav,16,happy,normal,01,01,1.7180045351473923,female
34,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-02-02-01-16.wav,16,happy,strong,02,01,1.8121995464852607,female
35,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-02-02-02-16.wav,16,disgusted,strong,02,02,2.206938775510204,female
36,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-02-02-01-16.wav,16,sad,strong,02,01,1.8849886621315193,female
