,dataset,filename,actor,emotion,statement,length,gender
0,TESS,clean/TESS/YAF_wire_happy.wav,YAF,happy,wire,2.0756009070294783,female
1,TESS,clean/TESS/OAF_fat_disgust.wav,OAF,disgusted,fat,2.3457596371882086,female
2,TESS,clean/TESS/OAF_bought_happy.wav,OAF,happy,bought,1.794920634920635,female
3,TESS,clean/TESS/OAF_fit_neutral.wav,OAF,neutral,fit,1.8616326530612244,female
4,TESS,clean/TESS/YAF_dead_fear.wav,YAF,fearful,dead,1.650204081632653,female
5,TESS,clean/TESS/OAF_join_neutral.wav,OAF,neutral,join,2.2398639455782314,female
6,TESS,clean/TESS/YAF_hall_happy.wav,YAF,happy,hall,1.9259410430839001,female
7,TESS,clean/TESS/YAF_hurl_neutral.wav,YAF,neutral,hurl,2.0825396825396827,female
8,TESS,clean/TESS/OAF_king_angry.wav,OAF,angry,king,1.6628571428571428,female
9,TESS,clean/TESS/OAF_rot_angry.wav,OAF,angry,rot,1.3717460317460317,female
10,TESS,clean/TESS/YAF_hit_ps.wav,YAF,surprised,hit,1.8214512471655329,female
11,TESS,clean/TESS/OAF_gaze_sad.wav,OAF,sad,gaze,2.975873015873016,female
12,TESS,clean/TESS/YAF_ripe_fear.wav,YAF,fearful,ripe,1.659047619047619,female
13,TESS,clean/TESS/YAF_dog_neutral.wav,YAF,neutral,dog,2.1802721088435373,female
14,TESS,clean/TESS/OAF_hire_angry.wav,OAF,angry,hire,1.5071201814058957,female
15,TESS,clean/TESS/OAF_neat_sad.wav,OAF,sad,neat,2.6946485260770974,female
16,TESS,clean/TESS/YAF_gin_happy.wav,YAF,happy,gin,1.92,female
17,TESS,clean/TESS/YAF_sub_neutral.wav,YAF,neutral,sub,1.921360544217687,female
18,TESS,clean/TESS/OAF_mouse_sad.wav,OAF,sad,mouse,2.658140589569161,female
19,TESS,clean/TESS/OAF_ripe_disgust.wav,OAF,disgusted,ripe,2.266938775510204,female
20,TESS,clean/TESS/YAF_date_disgust.wav,YAF,disgusted,date,2.142267573696145,female
21,TESS,clean/TESS/YAF_hall_fear.wav,YAF,fearful,hall,1.6731972789115646,female
22,TESS,clean/TESS/OAF_voice_disgust.wav,OAF,disgusted,voice,2.492562358276644,female
23,TESS,clean/TESS/YAF_laud_neutral.wav,YAF,neutral,laud,2.0080272108843538,female
24,TESS,clean/TESS/YAF_numb_angry.wav,YAF,angry,numb,2.1354195011337866,female
25,TESS,clean/TESS/YAF_cause_fear.wav,YAF,fearful,cause,1.8082539682539682,female
26,TESS,clean/TESS/YAF_seize_angry.wav,YAF,angry,seize,2.3610430839002268,female
27,TESS,clean/TESS/YAF_rag_disgust.wav,YAF,disgusted,rag,2.2219501133786848,female
28,TESS,clean/TESS/OAF_take_angry.wav,OAF,angry,take,1.4598185941043085,female
29,TESS,clean/TESS/OAF_page_sad.wav,OAF,sad,page,2.8801814058956916,female
30,TESS,clean/TESS/YAF_dime_sad.wav,YAF,sad,dime,2.12031746031746,female
31,TESS,clean/TESS/OAF_ripe_ps.wav,OAF,surprised,ripe,2.149160997732426,female
32,TESS,clean/TESS/YAF_pick_angry.wav,YAF,angry,pick,1.932562358276644,female
33,TESS,clean/TESS/OAF_take_ps.wav,OAF,surprised,take,2.0563265306122447,female
34,TESS,clean/TESS/OAF_calm_angry.wav,OAF,angry,calm,1.4909297052154196,female
35,TESS,clean/TESS/OAF_third_fear.wav,OAF,fearful,third,1.606893424036281,female
36,TESS,clean/TESS/OAF_fall_neutral.wav,OAF,neutral,fall,2.0482993197278914,female
37,TESS,clean/TESS/OAF_pain_ps.wav,OAF,surprised,pain,2.032380952380952,female
38,TESS,clean/TESS/YAF_shack_neutral.wav,YAF,neutral,shack,2.178548752834467,female
